game,name,set_id,number,image_url
pokemon,Golisopod,sm11,51,https://images.pokemontcg.io/sm11/51_hires.png
pokemon,Terrakion-EX,bw6,121,https://images.pokemontcg.io/bw6/121_hires.png
pokemon,Registeel-EX,bw6,122,https://images.pokemontcg.io/bw6/122_hires.png
pokemon,Rayquaza-EX,bw6,123,https://images.pokemontcg.io/bw6/123_hires.png
pokemon,Staryu,mcd15,4,https://images.pokemontcg.io/mcd15/4_hires.png
pokemon,Pyukumuku,sm11,52,https://images.pokemontcg.io/sm11/52_hires.png
pokemon,Giratina-EX,bw6,124,https://images.pokemontcg.io/bw6/124_hires.png
pokemon,Tapu Fini,sm11,53,https://images.pokemontcg.io/sm11/53_hires.png
pokemon,Reuniclus,bw6,126,https://images.pokemontcg.io/bw6/126_hires.png
pokemon,Mudkip,mcd15,5,https://images.pokemontcg.io/mcd15/5_hires.png
pokemon,Raichu & Alolan Raichu-GX,sm11,54,https://images.pokemontcg.io/sm11/54_hires.png
pokemon,Krookodile,bw6,127,https://images.pokemontcg.io/bw6/127_hires.png
pokemon,Pikachu,sm11,55,https://images.pokemontcg.io/sm11/55_hires.png
pokemon,Rayquaza,bw6,128,https://images.pokemontcg.io/bw6/128_hires.png
pokemon,Pikachu,mcd15,6,https://images.pokemontcg.io/mcd15/6_hires.png
pokemon,Pikachu,sm11,56,https://images.pokemontcg.io/sm11/56_hires.png
pokemon,Dratini,dv1,1,https://images.pokemontcg.io/dv1/1_hires.png
pokemon,Dratini,dv1,2,https://images.pokemontcg.io/dv1/2_hires.png
pokemon,Dragonair,dv1,3,https://images.pokemontcg.io/dv1/3_hires.png
pokemon,Electrike,mcd15,7,https://images.pokemontcg.io/mcd15/7_hires.png
pokemon,Alolan Raichu,sm11,57,https://images.pokemontcg.io/sm11/57_hires.png
pokemon,Dragonair,dv1,4,https://images.pokemontcg.io/dv1/4_hires.png
pokemon,Dragonite,dv1,5,https://images.pokemontcg.io/dv1/5_hires.png
pokemon,Bagon,dv1,6,https://images.pokemontcg.io/dv1/6_hires.png
pokemon,Rhyhorn,mcd15,8,https://images.pokemontcg.io/mcd15/8_hires.png
pokemon,Magnemite,sm11,58,https://images.pokemontcg.io/sm11/58_hires.png
pokemon,Shelgon,dv1,7,https://images.pokemontcg.io/dv1/7_hires.png
pokemon,Salamence,dv1,8,https://images.pokemontcg.io/dv1/8_hires.png
pokemon,Latios,dv1,10,https://images.pokemontcg.io/dv1/10_hires.png
pokemon,Meditite,mcd15,9,https://images.pokemontcg.io/mcd15/9_hires.png
pokemon,Magneton,sm11,59,https://images.pokemontcg.io/sm11/59_hires.png
pokemon,Rayquaza,dv1,11,https://images.pokemontcg.io/dv1/11_hires.png
pokemon,Axew,dv1,12,https://images.pokemontcg.io/dv1/12_hires.png
pokemon,Axew,dv1,13,https://images.pokemontcg.io/dv1/13_hires.png
pokemon,Marill,mcd15,10,https://images.pokemontcg.io/mcd15/10_hires.png
pokemon,Magnezone,sm11,60,https://images.pokemontcg.io/sm11/60_hires.png
pokemon,Fraxure,dv1,14,https://images.pokemontcg.io/dv1/14_hires.png
pokemon,Fraxure,dv1,15,https://images.pokemontcg.io/dv1/15_hires.png
pokemon,Haxorus,dv1,16,https://images.pokemontcg.io/dv1/16_hires.png
pokemon,Zigzagoon,mcd15,11,https://images.pokemontcg.io/mcd15/11_hires.png
pokemon,Joltik,sm11,61,https://images.pokemontcg.io/sm11/61_hires.png
pokemon,Druddigon,dv1,17,https://images.pokemontcg.io/dv1/17_hires.png
pokemon,Exp. Share,dv1,18,https://images.pokemontcg.io/dv1/18_hires.png
pokemon,First Ticket,dv1,19,https://images.pokemontcg.io/dv1/19_hires.png
pokemon,Skitty,mcd15,12,https://images.pokemontcg.io/mcd15/12_hires.png
pokemon,Galvantula,sm11,62,https://images.pokemontcg.io/sm11/62_hires.png
